Sr No,User,User id,Location,Spot id,Parking Time,Leaving Time,cost
1,user01,2,agra,1,2025-07-01 13:43:47.239407,2025-07-02 17:59:57.471662,141.35
2,user01,2,agra,1,2025-07-02 18:00:08.312817,2025-07-02 18:06:36.969352,0.54
3,user01,2,agra,1,2025-07-02 18:08:03.140340,2025-07-02 18:08:18.444732,0.02
4,user01,2,agra,1,2025-07-02 18:10:08.964213,2025-07-02 18:47:14.018142,3.09
5,user01,2,agra,6,2025-07-02 18:46:56.855419,2025-07-03 13:41:15.449574,94.53
6,user01,2,agra,1,2025-07-03 13:42:25.943902,2025-07-03 13:42:34.695248,0.01
7,user01,2,agra,1,2025-07-03 13:43:27.751242,2025-07-03 13:43:30.226337,0.0
8,user4,3,agra,1,2025-07-03 13:46:19.114943,2025-07-03 13:46:41.017429,0.03
9,user01,2,test,7,2025-07-03 17:16:42.438233,2025-07-03 17:16:46.374961,0.01
